id,seller_id,discs,price,newfrom,usedfrom,edition,form,release_date
58c4088a-d952-11eb-923e-d95dfd5674ed,4b908a7b-4d36-48ec-abe5-7cee5e19b174,36,11,18,31,Special Extended Version,Prime Video,Fri Apr 09 2021 07:56:28 GMT-0700 (Pacific Daylight Time)
58c4088b-d952-11eb-923e-d95dfd5674ed,94a5ecef-7cef-4f81-8e3c-2d90ec279b03,19,29,11,23,Limited Edition,DVD,Sun Apr 18 2021 01:11:50 GMT-0700 (Pacific Daylight Time)
58c4088c-d952-11eb-923e-d95dfd5674ed,1b559d8c-b0af-4076-9912-9d7c88488571,6,39,5,15,Collector's Edition,4K,Thu Jan 14 2021 12:04:44 GMT-0800 (Pacific Standard Time)
58c4088d-d952-11eb-923e-d95dfd5674ed,190622c0-69d6-42d6-b73b-3903757cedbe,34,37,26,16,Collector's Edition,Blu-ray,Sun May 02 2021 19:04:29 GMT-0700 (Pacific Daylight Time)
58c4088e-d952-11eb-923e-d95dfd5674ed,dd658764-5996-4a73-be76-f154317766d9,30,42,38,26,Limited Edition,Blu-ray,Thu Aug 13 2020 07:04:13 GMT-0700 (Pacific Daylight Time)
58c4088f-d952-11eb-923e-d95dfd5674ed,216e8014-71e9-4d9a-8d23-b118cd04dc88,36,16,38,13,Special Edition,DVD,Thu Feb 04 2021 01:08:03 GMT-0800 (Pacific Standard Time)
58c40890-d952-11eb-923e-d95dfd5674ed,77f928f9-5cc3-4108-8a92-c6468346179e,23,9,15,27,Limited Collector's Edition,DVD,Sat Aug 15 2020 13:37:41 GMT-0700 (Pacific Daylight Time)
58c40891-d952-11eb-923e-d95dfd5674ed,ecc82cb3-37b4-4986-8876-39b6c099a941,9,9,38,20,,Blu-ray,Fri May 28 2021 02:21:19 GMT-0700 (Pacific Daylight Time)
58c42f90-d952-11eb-923e-d95dfd5674ed,701eea0f-408b-43b1-8c12-9b8bec970dc1,33,40,17,7,Limited Edition,Prime Video,Thu Nov 26 2020 01:13:34 GMT-0800 (Pacific Standard Time)
58c42f91-d952-11eb-923e-d95dfd5674ed,379a0ae5-6e27-45aa-a3ec-fc06fa00a61d,37,41,16,13,Collector's Edition,DVD,Thu Oct 01 2020 17:14:03 GMT-0700 (Pacific Daylight Time)
58c42f92-d952-11eb-923e-d95dfd5674ed,2065cacf-949f-497d-b47c-eb8b8f5a1691,48,24,19,6,Limited Edition,Prime Video,Sun Dec 27 2020 16:57:55 GMT-0800 (Pacific Standard Time)
58c42f93-d952-11eb-923e-d95dfd5674ed,46d3b782-fde2-4d51-934c-e1e491e0667a,29,37,36,8,Collector's Edition,DVD,Tue Mar 02 2021 06:08:40 GMT-0800 (Pacific Standard Time)
58c42f94-d952-11eb-923e-d95dfd5674ed,ff8ee439-4ab7-4f75-8aca-2e59b9debf62,42,11,16,14,Special Extended Version,Blu-ray,Mon Oct 12 2020 06:49:03 GMT-0700 (Pacific Daylight Time)
58c42f95-d952-11eb-923e-d95dfd5674ed,cbbaa099-2291-454f-b722-22d14a998af1,44,21,10,25,Limited Edition,Prime Video,Tue Jun 22 2021 16:06:55 GMT-0700 (Pacific Daylight Time)
58c42f96-d952-11eb-923e-d95dfd5674ed,4edbb3ba-e703-42c0-b250-6d6b00c1c57f,33,16,27,6,Limited Collector's Edition,Prime Video,Tue Aug 18 2020 15:00:08 GMT-0700 (Pacific Daylight Time)
58c42f97-d952-11eb-923e-d95dfd5674ed,6dd69c3d-ee61-444f-83f8-553c599cf0c1,40,39,18,15,Special Extended Version,DVD,Wed Sep 30 2020 08:22:38 GMT-0700 (Pacific Daylight Time)
58c42f98-d952-11eb-923e-d95dfd5674ed,e94be706-3dae-4868-898f-d89b2381cb32,28,25,23,21,Limited Collector's Edition,DVD,Thu Aug 20 2020 11:56:38 GMT-0700 (Pacific Daylight Time)
58c42f99-d952-11eb-923e-d95dfd5674ed,2c086aa8-00cd-47f2-b1b7-42e4334bd26e,29,16,13,4,Limited Edition,Prime Video,Fri Aug 28 2020 10:29:44 GMT-0700 (Pacific Daylight Time)
58c42f9a-d952-11eb-923e-d95dfd5674ed,34ca6ef8-f07f-4ca7-afe1-7d733f4a6f53,18,34,5,25,Limited Collector's Edition,Prime Video,Thu Dec 31 2020 04:42:54 GMT-0800 (Pacific Standard Time)
58c42f9b-d952-11eb-923e-d95dfd5674ed,069a381d-b362-4622-8e06-d63a8cd54783,38,11,39,23,Special Edition,Prime Video,Fri Jul 10 2020 01:25:37 GMT-0700 (Pacific Daylight Time)
58c42f9c-d952-11eb-923e-d95dfd5674ed,f9259eb2-9a5f-4c8b-9811-02b1cefb5679,38,44,35,32,Limited Edition,4K,Wed Feb 10 2021 23:07:10 GMT-0800 (Pacific Standard Time)
58c42f9d-d952-11eb-923e-d95dfd5674ed,c6e8fb14-6ff0-4800-ae36-ab6ee7134812,20,39,35,24,,Prime Video,Sat Mar 13 2021 00:34:03 GMT-0800 (Pacific Standard Time)
58c42f9e-d952-11eb-923e-d95dfd5674ed,1325394d-0bd9-42be-8d15-f4db0273b8cf,20,11,18,19,Special Edition,DVD,Sun Nov 15 2020 18:02:57 GMT-0800 (Pacific Standard Time)
58c42f9f-d952-11eb-923e-d95dfd5674ed,2e615261-f322-4092-9c7c-6fece9133f2e,46,31,6,19,Collector's Edition,4K,Fri Jul 10 2020 17:49:33 GMT-0700 (Pacific Daylight Time)
58c42fa0-d952-11eb-923e-d95dfd5674ed,aa1136a4-45ae-43f5-8239-5c3b0889f76a,11,36,15,7,Special Extended Version,4K,Wed Oct 14 2020 22:05:19 GMT-0700 (Pacific Daylight Time)
58c42fa6-d952-11eb-923e-d95dfd5674ed,48577822-ccf8-4fe3-81ae-1e6319c03141,3,33,36,4,,4K,Fri Jun 11 2021 17:01:41 GMT-0700 (Pacific Daylight Time)
58c42fa7-d952-11eb-923e-d95dfd5674ed,aa2b73fc-5737-4297-96c6-c90b47ebc5ca,1,23,36,24,Limited Collector's Edition,4K,Mon Feb 15 2021 21:52:06 GMT-0800 (Pacific Standard Time)
58c42fa8-d952-11eb-923e-d95dfd5674ed,790f554e-6d8c-45fb-891a-5c5cb60a401d,23,13,35,20,Limited Collector's Edition,Prime Video,Sat Dec 12 2020 16:25:35 GMT-0800 (Pacific Standard Time)
58c42fa9-d952-11eb-923e-d95dfd5674ed,1817da59-217a-4aea-9f80-21020e66869e,1,16,33,27,Collector's Edition,Prime Video,Wed Dec 09 2020 05:27:14 GMT-0800 (Pacific Standard Time)
58c42faa-d952-11eb-923e-d95dfd5674ed,73b235cb-63e7-4714-8d56-7a12283324b7,15,28,36,26,Special Edition,Blu-ray,Tue Oct 06 2020 04:48:51 GMT-0700 (Pacific Daylight Time)
58c42fab-d952-11eb-923e-d95dfd5674ed,090e5136-f6c1-4c74-8c11-d2be371bfefe,32,15,23,12,,4K,Wed Feb 10 2021 04:29:01 GMT-0800 (Pacific Standard Time)
58c42fac-d952-11eb-923e-d95dfd5674ed,274220e3-14b2-4d67-9615-3a10b14b1747,0,22,37,16,Collector's Edition,Blu-ray,Tue Jun 30 2020 13:17:07 GMT-0700 (Pacific Daylight Time)
58c42fad-d952-11eb-923e-d95dfd5674ed,d4d3acd6-8431-4cb2-a715-37d475bf6660,28,16,9,17,Collector's Edition,Prime Video,Sun Oct 18 2020 13:47:24 GMT-0700 (Pacific Daylight Time)
58c42fae-d952-11eb-923e-d95dfd5674ed,d9ef9953-0254-45bb-b592-df5356b0fc30,2,31,34,7,Limited Edition,Prime Video,Mon Nov 09 2020 07:04:18 GMT-0800 (Pacific Standard Time)
58c42faf-d952-11eb-923e-d95dfd5674ed,2a83e42e-2a74-4fa7-b913-e9d18110ba3e,3,32,32,6,Limited Collector's Edition,Prime Video,Sat Oct 10 2020 03:43:43 GMT-0700 (Pacific Daylight Time)
58c42fb0-d952-11eb-923e-d95dfd5674ed,efc77a75-2646-4d23-8e29-9d06956b825e,46,30,14,18,Limited Edition,4K,Fri Apr 30 2021 04:26:34 GMT-0700 (Pacific Daylight Time)
58c42fb1-d952-11eb-923e-d95dfd5674ed,df196aab-4ece-4d8c-bd4c-463104d9701a,42,27,35,18,,DVD,Sun Aug 23 2020 06:16:07 GMT-0700 (Pacific Daylight Time)
58c42fb2-d952-11eb-923e-d95dfd5674ed,aab6a1cc-e633-46ae-9b9c-79cc9c1679d0,33,18,10,6,,4K,Wed Nov 04 2020 21:07:46 GMT-0800 (Pacific Standard Time)
58c42fb3-d952-11eb-923e-d95dfd5674ed,82f94672-44a2-4da5-9ff0-f6d02894386d,29,42,22,12,Collector's Edition,DVD,Wed Aug 05 2020 13:17:32 GMT-0700 (Pacific Daylight Time)
58c42fb4-d952-11eb-923e-d95dfd5674ed,fbcdcc73-8848-4f9f-b662-768ef12ecc1f,22,17,11,3,Limited Collector's Edition,Prime Video,Thu Apr 15 2021 20:25:22 GMT-0700 (Pacific Daylight Time)
58c42fb5-d952-11eb-923e-d95dfd5674ed,195f75f4-3880-4298-afb9-61b77a0bf299,34,23,33,5,Collector's Edition,Prime Video,Wed Nov 04 2020 08:58:31 GMT-0800 (Pacific Standard Time)
58c42fb6-d952-11eb-923e-d95dfd5674ed,ce5f6098-b03d-47b3-9fd9-2dbc8d107585,47,5,9,8,Limited Collector's Edition,Prime Video,Sun Sep 06 2020 09:29:28 GMT-0700 (Pacific Daylight Time)
58c42fbc-d952-11eb-923e-d95dfd5674ed,6f9f3838-1812-4f46-98c7-2245d9c18f35,14,36,37,8,,Blu-ray,Tue Jan 26 2021 11:16:37 GMT-0800 (Pacific Standard Time)
58c42fbd-d952-11eb-923e-d95dfd5674ed,d76bdc79-977f-4de5-9f2c-4bee9a5d07c0,1,35,33,18,Special Extended Version,DVD,Mon Jul 06 2020 03:01:34 GMT-0700 (Pacific Daylight Time)
58c42fbe-d952-11eb-923e-d95dfd5674ed,7aed3887-6f65-4221-b0f1-401b1f183782,27,8,6,4,Special Extended Version,Prime Video,Mon Oct 19 2020 20:05:08 GMT-0700 (Pacific Daylight Time)
58c42fbf-d952-11eb-923e-d95dfd5674ed,518baacf-c690-48c9-96c8-34ca49368345,28,43,8,16,,Blu-ray,Fri Apr 23 2021 20:42:58 GMT-0700 (Pacific Daylight Time)
58c42fc5-d952-11eb-923e-d95dfd5674ed,e0246561-f74d-4986-97d9-4eab1930c6eb,32,9,23,18,Collector's Edition,Prime Video,Tue Apr 27 2021 10:40:06 GMT-0700 (Pacific Daylight Time)
58c42fc6-d952-11eb-923e-d95dfd5674ed,c84eda78-bd79-46dc-993c-57a7e8773441,48,6,7,11,Limited Collector's Edition,Blu-ray,Sat Feb 06 2021 06:17:08 GMT-0800 (Pacific Standard Time)
58c42fc7-d952-11eb-923e-d95dfd5674ed,0f098aa8-16f1-4cff-880c-ca2ad0578b00,1,6,10,17,Limited Edition,Prime Video,Fri Mar 05 2021 13:47:32 GMT-0800 (Pacific Standard Time)
58c42fc8-d952-11eb-923e-d95dfd5674ed,9c382a6d-70a8-494b-a0e4-1150515bb1fe,38,26,20,11,Collector's Edition,DVD,Sat Aug 08 2020 06:51:27 GMT-0700 (Pacific Daylight Time)
58c42fc9-d952-11eb-923e-d95dfd5674ed,ec25ed95-b7f5-4b5a-9ac7-aa069cfff624,7,11,10,11,Special Edition,4K,Sun Nov 22 2020 01:36:21 GMT-0800 (Pacific Standard Time)
58c42fca-d952-11eb-923e-d95dfd5674ed,6057446e-28f3-40c0-ac00-02e75da2eb7d,46,9,36,16,Limited Edition,DVD,Fri Sep 18 2020 08:22:57 GMT-0700 (Pacific Daylight Time)
58c42fcb-d952-11eb-923e-d95dfd5674ed,52f5c15c-9a7b-415d-abb3-b359ef4da7e3,24,20,34,25,Limited Edition,Prime Video,Sat Sep 26 2020 03:22:45 GMT-0700 (Pacific Daylight Time)
58c42fcc-d952-11eb-923e-d95dfd5674ed,a7ca2811-acdd-48bf-926f-e9c5b046696c,34,14,34,17,Limited Edition,4K,Sat May 08 2021 06:31:17 GMT-0700 (Pacific Daylight Time)
58c42fcd-d952-11eb-923e-d95dfd5674ed,0cb3c4dc-58a3-4d5a-978e-190b76d877bd,29,30,13,5,Special Extended Version,Prime Video,Sun Jan 10 2021 16:49:28 GMT-0800 (Pacific Standard Time)
58c42fce-d952-11eb-923e-d95dfd5674ed,48f6d4d7-37d7-4f32-9dc0-2231e958f0d4,39,26,9,25,Collector's Edition,Prime Video,Sun May 09 2021 13:32:07 GMT-0700 (Pacific Daylight Time)
58c42fcf-d952-11eb-923e-d95dfd5674ed,386afab9-1dca-48bf-846f-82718bb8526b,4,17,30,15,Special Edition,Blu-ray,Mon Oct 05 2020 08:14:05 GMT-0700 (Pacific Daylight Time)
58c456a0-d952-11eb-923e-d95dfd5674ed,4131033d-fd1f-4ba6-bd1f-003c28e556ff,24,35,15,4,,4K,Fri Apr 09 2021 10:47:15 GMT-0700 (Pacific Daylight Time)
58c456a1-d952-11eb-923e-d95dfd5674ed,b6b0fea5-6dbb-442b-9bbd-eee2c7e3e01a,23,37,9,32,Limited Edition,Blu-ray,Wed Jun 23 2021 17:37:15 GMT-0700 (Pacific Daylight Time)
58c456a2-d952-11eb-923e-d95dfd5674ed,ad23d47d-b73e-4d9e-94a6-01df16a5c138,17,18,14,9,Limited Edition,Blu-ray,Mon Nov 02 2020 01:24:19 GMT-0800 (Pacific Standard Time)
58c456a3-d952-11eb-923e-d95dfd5674ed,d26945a1-44d9-44a3-b547-32f91f865f93,33,35,20,27,Collector's Edition,Blu-ray,Tue Mar 23 2021 15:24:26 GMT-0700 (Pacific Daylight Time)
58c456a4-d952-11eb-923e-d95dfd5674ed,74e270a3-2a63-426a-8491-ab752d429331,48,37,26,21,Special Edition,Prime Video,Thu Mar 04 2021 01:09:46 GMT-0800 (Pacific Standard Time)
58c456a5-d952-11eb-923e-d95dfd5674ed,eaa0965d-2223-4a44-a269-f70e88280115,20,23,26,12,Limited Collector's Edition,Blu-ray,Sat Jun 26 2021 07:31:02 GMT-0700 (Pacific Daylight Time)
58c456a6-d952-11eb-923e-d95dfd5674ed,3fe1038f-3d9f-4bce-b595-1af2ff7211ad,30,33,26,22,Limited Edition,DVD,Wed Oct 14 2020 02:20:51 GMT-0700 (Pacific Daylight Time)
58c456a7-d952-11eb-923e-d95dfd5674ed,a47319cc-333f-428c-861c-baa9f76b72bc,26,42,35,31,Limited Collector's Edition,4K,Fri Nov 20 2020 20:03:38 GMT-0800 (Pacific Standard Time)
58c456a8-d952-11eb-923e-d95dfd5674ed,6ef849ce-7bb1-426c-b4ba-917d9add14c0,4,9,15,27,Collector's Edition,Blu-ray,Mon Dec 07 2020 21:30:21 GMT-0800 (Pacific Standard Time)
58c456a9-d952-11eb-923e-d95dfd5674ed,8a2df41c-2b4c-4501-9d1c-de33057ffae3,9,35,8,25,Special Edition,Prime Video,Wed Jan 20 2021 11:36:55 GMT-0800 (Pacific Standard Time)
58c456aa-d952-11eb-923e-d95dfd5674ed,5254d3db-4d49-4a8f-b61e-69dad49cc6b8,25,5,24,27,Collector's Edition,4K,Sat Dec 05 2020 22:16:15 GMT-0800 (Pacific Standard Time)
58c456ab-d952-11eb-923e-d95dfd5674ed,f29605e6-73cd-4ba5-b31a-5373fe0a61fc,6,29,5,20,Limited Collector's Edition,4K,Sun Jan 03 2021 18:43:44 GMT-0800 (Pacific Standard Time)
58c456ac-d952-11eb-923e-d95dfd5674ed,f6ea8cb9-0763-4f64-b748-53f5a2171ccc,34,15,21,28,Special Edition,Prime Video,Wed Feb 17 2021 00:15:14 GMT-0800 (Pacific Standard Time)
58c456ad-d952-11eb-923e-d95dfd5674ed,8bcb0727-b02e-49a2-abd9-fe6f8fdcb83d,24,40,19,31,Special Edition,4K,Thu Jul 16 2020 16:59:45 GMT-0700 (Pacific Daylight Time)
58c456ae-d952-11eb-923e-d95dfd5674ed,1839cd39-0fad-4dfb-9ff5-c9828d49ed39,46,34,11,20,Special Extended Version,DVD,Sat Mar 06 2021 01:27:55 GMT-0800 (Pacific Standard Time)
58c456af-d952-11eb-923e-d95dfd5674ed,328a19a1-1ab9-47aa-98b8-939b850e0bd9,31,20,11,11,Special Edition,Blu-ray,Mon Apr 12 2021 00:26:35 GMT-0700 (Pacific Daylight Time)
58c456b0-d952-11eb-923e-d95dfd5674ed,7989534b-0f57-4c52-ba45-e80f47e36105,42,40,14,18,Special Edition,DVD,Sat Apr 10 2021 02:23:21 GMT-0700 (Pacific Daylight Time)
58c456b1-d952-11eb-923e-d95dfd5674ed,76accd0c-68f7-4797-a375-f1c46163a5c8,15,38,10,8,Collector's Edition,Prime Video,Tue Feb 09 2021 17:59:48 GMT-0800 (Pacific Standard Time)
58c456b2-d952-11eb-923e-d95dfd5674ed,d8c6e164-d05b-4a3b-b32c-b89228473d88,13,5,12,25,Limited Edition,Prime Video,Tue Jan 19 2021 07:10:28 GMT-0800 (Pacific Standard Time)
58c456b8-d952-11eb-923e-d95dfd5674ed,239701a3-0b07-4a75-95e0-3d6db6872a9e,2,40,5,29,Collector's Edition,DVD,Tue Dec 08 2020 10:23:50 GMT-0800 (Pacific Standard Time)
58c456b9-d952-11eb-923e-d95dfd5674ed,dd0fee50-1040-42c3-8cd1-c15eaa284923,11,13,5,24,Limited Edition,Prime Video,Sat Dec 19 2020 15:13:11 GMT-0800 (Pacific Standard Time)
58c456ba-d952-11eb-923e-d95dfd5674ed,03045819-25ce-4c04-b88a-ca8a887f5d3d,29,43,26,6,Collector's Edition,4K,Thu Jun 10 2021 10:25:00 GMT-0700 (Pacific Daylight Time)
58c456bb-d952-11eb-923e-d95dfd5674ed,388ad1fb-eb1b-443b-b4f8-3d79a25fd60a,40,43,13,16,Special Edition,Prime Video,Mon Nov 16 2020 18:54:40 GMT-0800 (Pacific Standard Time)
58c456c1-d952-11eb-923e-d95dfd5674ed,c6be5004-54a3-465e-93a6-e70542f0f0c6,26,11,14,26,Collector's Edition,Blu-ray,Thu Mar 18 2021 18:57:15 GMT-0700 (Pacific Daylight Time)
58c456c2-d952-11eb-923e-d95dfd5674ed,d7ed7211-33a7-4694-93b2-8a6eb99ad396,29,39,8,5,Special Edition,Blu-ray,Sun Jun 20 2021 22:18:57 GMT-0700 (Pacific Daylight Time)
58c456c3-d952-11eb-923e-d95dfd5674ed,17d9ea5a-f9e7-4e17-85c6-5931bc92b25e,43,16,25,29,Limited Edition,Blu-ray,Wed Oct 14 2020 03:42:56 GMT-0700 (Pacific Daylight Time)
58c456c4-d952-11eb-923e-d95dfd5674ed,cfcb556d-1f5b-4edc-b856-c0f11f7f4962,1,23,39,15,Limited Edition,Blu-ray,Sun Feb 14 2021 13:25:25 GMT-0800 (Pacific Standard Time)
58c456c5-d952-11eb-923e-d95dfd5674ed,6060c04a-547e-499a-82b1-fbbea40b2cd0,40,25,5,5,Limited Edition,4K,Tue Jan 05 2021 22:49:28 GMT-0800 (Pacific Standard Time)
58c456c6-d952-11eb-923e-d95dfd5674ed,8838300f-d020-4c22-932b-a8b8844007bc,8,20,22,20,,Blu-ray,Thu Mar 18 2021 09:02:17 GMT-0700 (Pacific Daylight Time)
58c456cc-d952-11eb-923e-d95dfd5674ed,51ff8e2d-72ec-4043-9700-a0af6026e1a0,23,34,32,20,Special Extended Version,Blu-ray,Mon Nov 23 2020 20:47:25 GMT-0800 (Pacific Standard Time)
58c456cd-d952-11eb-923e-d95dfd5674ed,7d83f6c7-5415-44e0-b2bb-9ac233c3046e,11,18,16,13,Limited Collector's Edition,DVD,Sun Apr 25 2021 13:14:37 GMT-0700 (Pacific Daylight Time)
58c456ce-d952-11eb-923e-d95dfd5674ed,6d9f4d66-287b-4a81-b4c1-41a0de2e3d5d,30,26,12,17,Limited Collector's Edition,DVD,Tue May 18 2021 13:29:55 GMT-0700 (Pacific Daylight Time)
58c456cf-d952-11eb-923e-d95dfd5674ed,be24c7a8-1465-4341-ba67-ed9c192a8422,40,19,16,9,Collector's Edition,4K,Wed Feb 17 2021 19:05:46 GMT-0800 (Pacific Standard Time)
58c456d0-d952-11eb-923e-d95dfd5674ed,56f9cfc6-4645-4046-99e2-0ca61ebf6afa,40,28,35,12,Limited Edition,4K,Mon Jun 14 2021 07:16:28 GMT-0700 (Pacific Daylight Time)
58c456d1-d952-11eb-923e-d95dfd5674ed,d15796a6-763c-4025-8dd7-f73d66ab672c,38,19,25,21,Collector's Edition,Blu-ray,Tue Jun 22 2021 12:12:26 GMT-0700 (Pacific Daylight Time)
58c456d2-d952-11eb-923e-d95dfd5674ed,95221a52-17ac-48f5-9353-3c1b280b7ac2,46,11,31,24,Special Edition,4K,Wed Dec 23 2020 02:42:50 GMT-0800 (Pacific Standard Time)
58c456d3-d952-11eb-923e-d95dfd5674ed,a27b85b9-7f1c-4b82-865e-1ea8dbbcfce5,8,15,24,15,,Blu-ray,Wed Feb 17 2021 08:27:54 GMT-0800 (Pacific Standard Time)
58c456d4-d952-11eb-923e-d95dfd5674ed,93198df9-51a5-4872-a8e1-4a5023f365ac,44,15,32,6,Collector's Edition,DVD,Sat Jun 19 2021 12:19:38 GMT-0700 (Pacific Daylight Time)
58c456d5-d952-11eb-923e-d95dfd5674ed,c7db1545-b4f1-49a4-899b-a67124beffda,13,22,6,22,Collector's Edition,4K,Mon Feb 22 2021 22:47:42 GMT-0800 (Pacific Standard Time)
58c456d6-d952-11eb-923e-d95dfd5674ed,72fc663c-6e9e-4cd3-afca-f55c7c0c1b69,18,27,12,32,Limited Edition,Blu-ray,Tue Apr 27 2021 06:00:45 GMT-0700 (Pacific Daylight Time)
58c456d7-d952-11eb-923e-d95dfd5674ed,0463780a-6344-4637-9f4c-28ca9bca404b,27,32,24,12,Limited Collector's Edition,4K,Fri Apr 30 2021 03:47:52 GMT-0700 (Pacific Daylight Time)
58c456d8-d952-11eb-923e-d95dfd5674ed,42793b46-a41b-450e-823a-04b15123ab49,48,36,5,23,Limited Edition,Prime Video,Sat Oct 03 2020 17:20:29 GMT-0700 (Pacific Daylight Time)
58c456d9-d952-11eb-923e-d95dfd5674ed,2b380c2c-c654-4bc1-8b8c-b5ace5cca0e0,6,6,24,7,Limited Collector's Edition,DVD,Thu May 06 2021 10:15:37 GMT-0700 (Pacific Daylight Time)
58c456da-d952-11eb-923e-d95dfd5674ed,ad93bc48-e418-4668-8986-0b5e6328b59f,24,43,27,29,Special Edition,Prime Video,Sun Nov 01 2020 14:48:53 GMT-0800 (Pacific Standard Time)
58c456db-d952-11eb-923e-d95dfd5674ed,4f7bbbd9-82c5-42a8-ad61-b5983a5e6ede,9,22,15,3,Limited Edition,Prime Video,Fri Jul 31 2020 21:35:36 GMT-0700 (Pacific Daylight Time)
58c47db0-d952-11eb-923e-d95dfd5674ed,6dc72c7e-88ba-4107-824f-c8807d214d2e,18,14,7,32,Special Edition,DVD,Tue Jul 21 2020 07:07:03 GMT-0700 (Pacific Daylight Time)
58c47db1-d952-11eb-923e-d95dfd5674ed,06096770-a254-4eff-9f75-e92858cc8c9e,31,16,16,31,Limited Collector's Edition,4K,Sun Mar 28 2021 04:55:13 GMT-0700 (Pacific Daylight Time)
58c47db2-d952-11eb-923e-d95dfd5674ed,8872fb6d-6a67-4f8b-96e5-c83105804aa5,48,42,6,24,,DVD,Tue May 11 2021 05:40:31 GMT-0700 (Pacific Daylight Time)
58c47db3-d952-11eb-923e-d95dfd5674ed,e7fa202a-5d1f-4949-b83b-244aefa36834,47,10,27,21,Collector's Edition,Prime Video,Sat Aug 15 2020 13:16:22 GMT-0700 (Pacific Daylight Time)
58c47db4-d952-11eb-923e-d95dfd5674ed,3d747d14-9b9d-4da0-96b2-ba073085bb89,22,12,24,14,Special Extended Version,DVD,Tue Feb 23 2021 00:27:13 GMT-0800 (Pacific Standard Time)
58c47db5-d952-11eb-923e-d95dfd5674ed,bb380c57-193e-46c7-9a4f-63c06e32edea,33,9,10,28,Limited Collector's Edition,DVD,Sat Feb 06 2021 06:40:45 GMT-0800 (Pacific Standard Time)
58c47db6-d952-11eb-923e-d95dfd5674ed,6852b82d-0e29-43ad-a418-94f351e36c87,15,22,35,8,Limited Edition,Blu-ray,Sat Aug 22 2020 20:16:57 GMT-0700 (Pacific Daylight Time)
58c47db7-d952-11eb-923e-d95dfd5674ed,fe135269-48c7-4314-b546-4e8352372c45,4,33,20,6,Special Edition,Prime Video,Tue Nov 17 2020 06:40:38 GMT-0800 (Pacific Standard Time)
58c47db8-d952-11eb-923e-d95dfd5674ed,6013fafe-acce-4f91-a256-297ea025b452,47,13,7,16,,Prime Video,Sat May 15 2021 16:18:39 GMT-0700 (Pacific Daylight Time)
58c47db9-d952-11eb-923e-d95dfd5674ed,2a8c53e2-61da-4c6c-bf89-0890e7ea4c97,46,23,38,27,Special Edition,Prime Video,Tue Jun 22 2021 05:54:17 GMT-0700 (Pacific Daylight Time)
58c47dba-d952-11eb-923e-d95dfd5674ed,0bca9b90-9667-4ffb-9b2a-b61210189117,40,16,35,5,Special Extended Version,DVD,Sun Nov 08 2020 05:45:42 GMT-0800 (Pacific Standard Time)
58c47dbb-d952-11eb-923e-d95dfd5674ed,f0f2ccd0-e70e-4752-9a42-81071e725910,8,9,20,26,Limited Collector's Edition,DVD,Fri Jun 11 2021 06:04:38 GMT-0700 (Pacific Daylight Time)
58c47dbc-d952-11eb-923e-d95dfd5674ed,cfe6a4cb-3147-438e-8030-fb3314b72874,39,36,9,24,,4K,Sun Nov 15 2020 00:22:05 GMT-0800 (Pacific Standard Time)
